fabric_name,color
Pool 45,#62ffb5
Jade Green 1183,#32cc93
Ultra Marine 483,#157547
Everglade 356,#125d44
Glacier 146,#157a70
Breakers 440,#37dbab
Splash 1789,#62ffc5
Capri 442,#70ffcd
Azure 1009,#87ffd8
Bahama Blue 1011,#8bffea
Waterfall 866,#7ce4e4
Seascape 1853,#73f4de
Jamaica 491,#5fffe2
Peacock 1282,#4af1ec
Turquoise 1376,#3ac1e1
Cyan 151,#2cb4b4
Caribbean 1064,#1c83a0
Oasis 446,#1570b3
Celestial 233,#064681
Navy 1243,#09212d
Windsor 1389,#14374d
Teal Blue 1373,#297a86
Fog 444,#99dacd
Blue 1028,#baf5f1
Sky 1513,#e8fff9
Sea Glass 846,#d4fff7
Baby Blue 1010,#bcfff5
Robin Egg 1514,#a2fff4
Niagara 497,#67f9f6
Alegria 405,#5be7f7
Water 171,#45d5f9
Lagoon 139,#3ac7ea
Paris Blue 864,#37b0fc
Stratosphere 448,#4fceff
Spa Blue 847,#a2f5f8
Breeze 266,#adf7fc
Lake 194,#b1fbff
Cloud 152,#cef9ff
Prairie Sky 855,#92e7ff
Delft 1101,#4591bd
Cadet 1058,#2f6292
Evening 195,#4390d6
Dresden Blue 1123,#589bc9
Blueberry 277,#7dc9f2
Cornflower 27,#9fe0ff
Blue Bell 1029,#a2d7f1
Periwinkle 1285,#77c2ff
Candy Blue 1060,#72baf4
Malibu 494,#2a89ff
Harbor 1845,#257af6
Mediterranean 479,#0e5cdf
Pacific 90,#0d54ee
Regatta 346,#0d4bbc
Prussian 454,#00206b
Storm 458,#031a3e
Indigo 1178,#0b1b2a
Royal 1314,#0026c1
Blueprint 848,#0743f6
Surf 32,#0e50f6
Astra 484,#3c90ff
Copen 1084,#377fe4
Blue Jay 196,#71a8ff
Denim 1452,#568de6
Deep Blue 1541,#0c25cb
Ocean 25,#001de7
Marine 1218,#001ebd
Riviera 455,#0018bb
Nightfall 140,#00116f
Nautical 412,#071436
Regal 415,#070c77
Noble Purple 852,#1c21e6
Lapis 357,#2e4cf0
Hyacinth 1171,#4167ff
Grapemist 318,#8db1ff
Dove 839,#e5faec
Lighthouse 1847,#cee8da
Quicksilver 856,#c4dae2
Iron 408,#aac5c6
Overcast 854,#94b4af
Shale 456,#7cb18e
Titanium,#82a3ae
Shark 1854,#719aa1
Slate 1336,#486b99
Steel 91,#4a636e
Graphite 295,#49655c
Metal 106,#405d5d
Chalkboard 1837,#375967
Gotham Grey 862,#2c433a
Charcoal 1071,#202728
Pepper 359,#162928
Black 1019,#141a19
Haze 863,#ecf5ea
Silver 1333,#e4ebf0
Shadow 457,#cdd6d3
Ash 1007,#c8ccc7
Doeskin 850,#c3c3ad
Shitake 858,#b6c5b0
Smoke 1713,#91a28a
Pewter 1470,#7b8e75
Zinc 859,#7a8669
Med. Grey 1223,#667592
Grizzly 1844,#4d5749
Coal 1080,#475358
Otter 1851,#3f3a24
White 1387,#fafdfe
PFD Bleached White 1287,#fafdfb
Snow 1339,#fbfded
Natural 1242,#fbfbf0
Bone 1037,#fbfcef
Oyster 1268,#f6f8df
Putty 1303,#f0f4c8
Ivory 1181,#edf0d5
Sand 1323,#f4e3cf
Eggshell 184,#feeabf
Cream 1090,#ffe3b9
Champagne 1069,#efeab5
Lingerie 843,#efdad3
Eucalyptus 841,#d8e89d
Khaki 1187,#ded7a7
Tan 1369,#dad19f
Parchment 413,#c5c6a3
Limestone 478,#c2c483
Parsley 198,#b7b962
Raffia 1306,#cdb384
Straw 186,#c9ba6f
Stone 1362,#b8af86
Latte 492,#b9ac76
